n_processos,array_size,custom,iteration,time
8,4096,true,28,0.000123
8,4096,true,29,0.000131
8,4096,true,30,0.000125
16,4096,true,1,0.000316
16,4096,true,2,0.000318
16,4096,true,3,0.000365
16,4096,true,4,0.000317
16,4096,true,5,0.000359
16,4096,true,6,0.000293
16,4096,true,7,0.000391
16,4096,true,8,0.000287
16,4096,true,9,0.000331
16,4096,true,10,0.000360
16,4096,true,11,0.000305
16,4096,true,12,0.000354
16,4096,true,13,0.000370
16,4096,true,14,0.000384
16,4096,true,15,0.000404
16,4096,true,16,0.000341
16,4096,true,17,0.000297
16,4096,true,18,0.000349
16,4096,true,19,0.000328
16,4096,true,20,0.000358
16,4096,true,21,0.000310
16,4096,true,22,0.000329
16,4096,true,23,0.000351
16,4096,true,24,0.000302
16,4096,true,25,0.000297
16,4096,true,26,0.000546
16,4096,true,27,0.000359
16,4096,true,28,0.000360
16,4096,true,29,0.000376
16,4096,true,30,0.000311
32,4096,true,1,0.001004
32,4096,true,2,0.000853
32,4096,true,3,0.001037
32,4096,true,4,0.000989
32,4096,true,5,0.000719
32,4096,true,6,0.000810
32,4096,true,7,0.000893
32,4096,true,8,0.012704
32,4096,true,9,0.001311
32,4096,true,10,0.000971
32,4096,true,11,0.000764
32,4096,true,12,0.001401
32,4096,true,13,0.001303
32,4096,true,14,0.001045
32,4096,true,15,0.001024
32,4096,true,16,0.001151
32,4096,true,17,0.001072
32,4096,true,18,0.001016
32,4096,true,19,0.001243
32,4096,true,20,0.000975
32,4096,true,21,0.001096
32,4096,true,22,0.001136
32,4096,true,23,0.000690
32,4096,true,24,0.000846
32,4096,true,25,0.000847
32,4096,true,26,0.001046
32,4096,true,27,0.001039
32,4096,true,28,0.001055
32,4096,true,29,0.000944
32,4096,true,30,0.000849
1,8192,true,1,0.000000
1,8192,true,2,0.000000
1,8192,true,3,0.000000
1,8192,true,4,0.000000
1,8192,true,5,0.000000
1,8192,true,6,0.000000
1,8192,true,7,0.000000
1,8192,true,8,0.000000
1,8192,true,9,0.000003
1,8192,true,10,0.000000
1,8192,true,11,0.000000
1,8192,true,12,0.000000
1,8192,true,13,0.000000
1,8192,true,14,0.000003
1,8192,true,15,0.000000
1,8192,true,16,0.000000
1,8192,true,17,0.000000
1,8192,true,18,0.000000
1,8192,true,19,0.000000
1,8192,true,20,0.000000
1,8192,true,21,0.000000
1,8192,true,22,0.000000
1,8192,true,23,0.000000
1,8192,true,24,0.000000
1,8192,true,25,0.000000
1,8192,true,26,0.000000
1,8192,true,27,0.000000
1,8192,true,28,0.000000
1,8192,true,29,0.000000
1,8192,true,30,0.000000
2,8192,true,1,0.000029
2,8192,true,2,0.000031
2,8192,true,3,0.000034
2,8192,true,4,0.000032
2,8192,true,5,0.000034
2,8192,true,6,0.000032
2,8192,true,7,0.000030
2,8192,true,8,0.000034
2,8192,true,9,0.000033
2,8192,true,10,0.000030
2,8192,true,11,0.000031
2,8192,true,12,0.000030
2,8192,true,13,0.000036
2,8192,true,14,0.000029
2,8192,true,15,0.000032
2,8192,true,16,0.000033
2,8192,true,17,0.000034
2,8192,true,18,0.000031
2,8192,true,19,0.000034
2,8192,true,20,0.000033
2,8192,true,21,0.000034
2,8192,true,22,0.000032
2,8192,true,23,0.000031
2,8192,true,24,0.000031
2,8192,true,25,0.000033
2,8192,true,26,0.000031
2,8192,true,27,0.000033
2,8192,true,28,0.000032
2,8192,true,29,0.000030
2,8192,true,30,0.000031
4,8192,true,1,0.000065
4,8192,true,2,0.000062
4,8192,true,3,0.000067
4,8192,true,4,0.000061
4,8192,true,5,0.000070
4,8192,true,6,0.000058
4,8192,true,7,0.000066
4,8192,true,8,0.000065
4,8192,true,9,0.000069
4,8192,true,10,0.000063
4,8192,true,11,0.000069
4,8192,true,12,0.000065
4,8192,true,13,0.000061
4,8192,true,14,0.000062
4,8192,true,15,0.000065
4,8192,true,16,0.000067
4,8192,true,17,0.000057
4,8192,true,18,0.000061
4,8192,true,19,0.000059
4,8192,true,20,0.000061
4,8192,true,21,0.000061
4,8192,true,22,0.000064
4,8192,true,23,0.000066
4,8192,true,24,0.000068
4,8192,true,25,0.000067
4,8192,true,26,0.000066
4,8192,true,27,0.000111
4,8192,true,28,0.000057
4,8192,true,29,0.000063
4,8192,true,30,0.000064
8,8192,true,1,0.000166
8,8192,true,2,0.000158
8,8192,true,3,0.000166
8,8192,true,4,0.000175
8,8192,true,5,0.000165
8,8192,true,6,0.000164
8,8192,true,7,0.000160
8,8192,true,8,0.000170
8,8192,true,9,0.000165
8,8192,true,10,0.000160
8,8192,true,11,0.000155
8,8192,true,12,0.000156
8,8192,true,13,0.000160
8,8192,true,14,0.000158
8,8192,true,15,0.000155
8,8192,true,16,0.000164
8,8192,true,17,0.000177
8,8192,true,18,0.000161
8,8192,true,19,0.000167
8,8192,true,20,0.000165
8,8192,true,21,0.000169
8,8192,true,22,0.000165
8,8192,true,23,0.000159
8,8192,true,24,0.000180
8,8192,true,25,0.000160
8,8192,true,26,0.000170
8,8192,true,27,0.000166
8,8192,true,28,0.000161
8,8192,true,29,0.000170
8,8192,true,30,0.000172
16,8192,true,1,0.000515
16,8192,true,2,0.000425
16,8192,true,3,0.000461
16,8192,true,4,0.000430
16,8192,true,5,0.000418
16,8192,true,6,0.000477
16,8192,true,7,0.000416
16,8192,true,8,0.000407
16,8192,true,9,0.000480
16,8192,true,10,0.000420
16,8192,true,11,0.000426
16,8192,true,12,0.000465
16,8192,true,13,0.000460
16,8192,true,14,0.000394
16,8192,true,15,0.000501
16,8192,true,16,0.000422
16,8192,true,17,0.000418
16,8192,true,18,0.000418
16,8192,true,19,0.000456
16,8192,true,20,0.000397
16,8192,true,21,0.000476
16,8192,true,22,0.000433
16,8192,true,23,0.000512
16,8192,true,24,0.000452
16,8192,true,25,0.000434
16,8192,true,26,0.000418
16,8192,true,27,0.000414
16,8192,true,28,0.000469
16,8192,true,29,0.000432
16,8192,true,30,0.000435
32,8192,true,1,0.001139
32,8192,true,2,0.001460
32,8192,true,3,0.001314
32,8192,true,4,0.001346
32,8192,true,5,0.001293
32,8192,true,6,0.001326
32,8192,true,7,0.001346
32,8192,true,8,0.001257
32,8192,true,9,0.001219
32,8192,true,10,0.001292
32,8192,true,11,0.001238
32,8192,true,12,0.001557
32,8192,true,13,0.001193
32,8192,true,14,0.001653
32,8192,true,15,0.002854
32,8192,true,16,0.001375
32,8192,true,17,0.002036
32,8192,true,18,0.001438
32,8192,true,19,0.001599
32,8192,true,20,0.001457
32,8192,true,21,0.001388
32,8192,true,22,0.001283
