impl,num_threads,i,grid_size,time
omp,4,16,128,0.004058
omp,4,16,2048,1.026571
omp,4,16,256,0.016250
omp,4,16,32,0.000380
omp,4,16,4096,4.069120
omp,4,16,512,0.064586
omp,4,16,64,0.001155
omp,4,16,8,0.000149
omp,4,17,1024,0.255673
omp,4,17,128,0.004143
omp,4,17,2048,1.022530
omp,4,17,256,0.016131
omp,4,17,32,0.000339
omp,4,17,4096,4.065414
omp,4,17,512,0.064960
omp,4,17,64,0.001097
omp,4,17,8,0.000159
omp,4,18,1024,0.255997
omp,4,18,128,0.004113
omp,4,18,2048,1.025753
omp,4,18,256,0.016859
omp,4,18,32,0.000360
omp,4,18,4096,4.090427
omp,4,18,512,0.064430
omp,4,18,64,0.001087
omp,4,18,8,0.000130
omp,4,19,1024,0.254352
omp,4,19,128,0.004129
omp,4,19,2048,1.021579
omp,4,19,256,0.016158
omp,4,19,32,0.000347
omp,4,19,4096,4.083285
omp,4,19,512,0.064532
omp,4,19,64,0.001074
omp,4,19,8,0.000136
omp,4,20,1024,0.252880
omp,4,20,128,0.004095
omp,4,20,2048,1.023131
omp,4,20,256,0.016257
omp,4,20,32,0.000360
omp,4,20,4096,4.088476
omp,4,20,512,0.064117
omp,4,20,64,0.001118
omp,4,20,8,0.000111
omp,4,21,1024,0.255544
omp,4,21,128,0.004086
omp,4,21,2048,1.016833
omp,4,21,256,0.016008
omp,4,21,32,0.000373
omp,4,21,4096,4.070514
omp,4,21,512,0.065097
omp,4,21,64,0.001103
omp,4,21,8,0.000129
omp,4,22,1024,0.254405
omp,4,22,128,0.004064
omp,4,22,2048,1.015224
omp,4,22,256,0.016819
omp,4,22,32,0.000367
omp,4,22,4096,4.052336
omp,4,22,512,0.064569
omp,4,22,64,0.001091
omp,4,22,8,0.000159
omp,4,23,1024,0.254030
omp,4,23,128,0.004192
omp,4,23,2048,1.025293
omp,4,23,256,0.016994
omp,4,23,32,0.000357
omp,4,23,4096,4.052036
omp,4,23,512,0.064988
omp,4,23,64,0.001126
omp,4,23,8,0.000203
omp,4,24,1024,0.253264
omp,4,24,128,0.004060
omp,4,24,2048,1.018341
omp,4,24,256,0.016112
omp,4,24,32,0.000375
omp,4,24,4096,4.053646
omp,4,24,512,0.064025
omp,4,24,64,0.001090
omp,4,24,8,0.000154
omp,4,25,1024,0.253454
omp,4,25,128,0.004047
omp,4,25,2048,1.014941
omp,4,25,256,0.016907
omp,4,25,32,0.000399
omp,4,25,4096,4.087905
omp,4,25,512,0.065071
omp,4,25,64,0.001134
omp,4,25,8,0.000119
omp,4,26,1024,0.257476
omp,4,26,128,0.004003
